consumer,mineral,year,hhi_import,hhi_wgi_import,hhi_import_wt,hhi_wgi_import_wt,n_partners,top_partner,top_partner_share,total_imports_M
China,Aluminium,2015,0.1037357131902348,0.028345350332279657,0.28081362310530467,0.09355059568627984,45,AUS,0.24095846161168866,10618.238139
China,Aluminium,2016,0.08971189296064738,0.02497104254775739,0.16722286283760399,0.05365724647684643,44,AUS,0.21629871712880744,8442.190972
China,Aluminium,2017,0.08801745557124711,0.031974114661141716,0.28075417880211456,0.12798644651764068,45,AUS,0.19185666773344778,10141.28692
China,Aluminium,2018,0.10530682097264554,0.04639932340341573,0.3340302650522497,0.16905680634002496,45,GIN,0.21196300975885668,10316.657805
China,Aluminium,2019,0.11678322656265433,0.05343413072585631,0.32764215808550384,0.16124143599122936,47,GIN,0.23182663647272456,10589.835941
China,Aluminium,2020,0.09136999046368321,0.04054994584190365,0.33321005587573044,0.17563692878799433,52,AUS,0.17870325489636504,13544.735855
China,Aluminium,2021,0.06499576407520291,0.028905321633466242,0.35207619369030385,0.19297280387258353,53,GIN,0.14942130266216952,18087.241751
China,Aluminium,2022,0.10089553074380418,0.054665508249374724,0.38922153563883216,0.2302297415500166,50,GIN,0.23444194191692802,19195.907478
China,Aluminium,2023,0.13708314169458097,0.08479895516781483,0.21870094470157697,0.12422241423052861,52,GIN,0.3032184656941274,21073.335479
China,Antimony,2015,0.24988413152948982,0.06057620508327377,0.12466959189145942,0.03460164975580296,22,AUS,0.48382485747212517,116.315142
China,Antimony,2016,0.24954833969816115,0.06563306457999495,0.2594695737871526,0.06798132352738563,22,AUS,0.46191981653928155,113.592927
China,Antimony,2017,0.1551000428416116,0.06297558325860488,0.10702062781462171,0.05913258079863261,23,AUS,0.28828211467673326,156.421355
China,Antimony,2018,0.2108101785517895,0.11720089429151642,0.18708995587989935,0.1099218847949982,23,RUS,0.42480524716402657,227.925179
China,Antimony,2019,0.130345651086758,0.0685054450844547,0.1138715151663321,0.06568997668407381,19,RUS,0.3130498297014169,153.713845
China,Antimony,2020,0.2123826271484791,0.07560011619924914,0.13758798161125166,0.05803444934560851,20,AUS,0.3733628409194935,127.033547
China,Antimony,2021,0.14025336398093202,0.07980910655701921,0.12228504551626168,0.08085184755910484,22,RUS,0.30380102678162435,97.58258
