consumer,mineral,year,partner_iso,trade_value,net_weight,total_imports,total_imports_wt,import_share,import_share_wt
China,Aluminium,2016,AUS,1826035077.0,4215980868.2,8442190972.0,12476157332.018,0.21629871712880744,0.3379230283815338
China,Aluminium,2016,AUT,762065.0,787953.51,8442190972.0,12476157332.018,9.0268628431591e-05,6.315674682763476e-05
China,Aluminium,2016,BEL,49832683.0,27856859.96,8442190972.0,12476157332.018,0.005902813992869718,0.00223280768418253
China,Aluminium,2016,BRA,293744477.0,934361981.263,8442190972.0,12476157332.018,0.03479481546606264,0.07489180814232874
China,Aluminium,2016,CAN,53768880.0,36807208.92,8442190972.0,12476157332.018,0.006369067008592186,0.0029502039723032646
China,Aluminium,2016,CHL,744856.0,545815.746,8442190972.0,12476157332.018,8.823017655848405e-05,4.3748706550794605e-05
China,Aluminium,2016,CHN,66772705.0,19992239.971,8442190972.0,12476157332.018,0.007909404705657966,0.0016024357050782947
China,Aluminium,2016,COL,1959990.0,1468566.6020000002,8442190972.0,12476157332.018,0.00023216603444540038,0.00011770984950880398
China,Aluminium,2016,CZE,3083.0,3481.066,8442190972.0,12476157332.018,3.6518955922998045e-07,2.7901748169417663e-07
China,Aluminium,2016,DEU,248942971.0,150879776.037,8442190972.0,12476157332.018,0.029487957785563346,0.01209344929065554
China,Aluminium,2016,DOM,16012020.0,56979348.293,8442190972.0,12476157332.018,0.0018966664048594326,0.004567059133405756
China,Aluminium,2016,ESP,12076.0,20190.844,8442190972.0,12476157332.018,1.4304343552582691e-06,1.6183543909135813e-06
China,Aluminium,2016,FIN,1348592.0,982235.605,8442190972.0,12476157332.018,0.0001597443133509821,7.872901718538403e-05
China,Aluminium,2016,FRA,39313078.0,27152011.700000003,8442190972.0,12476157332.018,0.004656738769637963,0.0021763120628752286
China,Aluminium,2016,GBR,181415291.0,125163988.803,8442190972.0,12476157332.018,0.02148912428085262,0.0100322547617917
China,Aluminium,2016,GHA,78879740.0,280696388.006,8442190972.0,12476157332.018,0.009343515239304398,0.022498625220574848
China,Aluminium,2016,GIN,622426853.0,2214928312.836,8442190972.0,12476157332.018,0.07372811809924548,0.17753289365402214
China,Aluminium,2016,GUY,253080.0,900594.27,8442190972.0,12476157332.018,2.9977999886449382e-05,7.218522867524069e-05
China,Aluminium,2016,IDN,102959336.0,110670183.19299999,8442190972.0,12476157332.018,0.012195807503227848,0.00887053443202285
China,Aluminium,2016,JAM,13078632.0,14767328.571,8442190972.0,12476157332.018,0.0015491987854074334,0.0011836439841217846
China,Aluminium,2016,JPN,814949428.0,258000066.308,8442190972.0,12476157332.018,0.09653292974571673,0.02067944956464162
China,Aluminium,2016,KAZ,4667565.0,2478269.352,8442190972.0,12476157332.018,0.0005528855027659045,0.0001986404376001199
China,Aluminium,2016,KOR,630054507.0,156566163.91799998,8442190972.0,12476157332.018,0.07463163402601122,0.012549229682780511
China,Aluminium,2016,MDG,6817.0,24258.539,8442190972.0,12476157332.018,8.074918019042415e-07,1.9443918792002134e-06
China,Aluminium,2016,MEX,4125843.0,3022407.364,8442190972.0,12476157332.018,0.0004887170894006163,0.00024225466893107304
China,Aluminium,2016,MNG,2524120.0,1571729.8450000002,8442190972.0,12476157332.018,0.00029898873507738506,0.00012597868102916712
China,Aluminium,2016,MYS,698996012.0,1360854006.554,8442190972.0,12476157332.018,0.08279793886662151,0.10907637426642518
China,Aluminium,2016,NGA,2404576.0,1378969.272,8442190972.0,12476157332.018,0.0002848284299626952,0.00011052836504883622
China,Aluminium,2016,NLD,75121728.0,50870403.654,8442190972.0,12476157332.018,0.008898368711292404,0.004077409598182086
China,Aluminium,2016,NOR,9224238.0,6837065.902,8442190972.0,12476157332.018,0.0010926355528551527,0.0005480105548568066
China,Aluminium,2016,PER,728942.0,546190.811,8442190972.0,12476157332.018,8.634512088362646e-05,4.3778769092490635e-05
China,Aluminium,2016,PHL,4843599.0,3216073.823,8442190972.0,12476157332.018,0.0005737371987988238,0.00025777759428750364
China,Aluminium,2016,PRT,7031.0,7938.818,8442190972.0,12476157332.018,8.328406717307792e-07,6.363191637241006e-07
China,Aluminium,2016,RUS,56365555.0,24917671.318,8442190972.0,12476157332.018,0.006676650076614732,0.0019972232358799217
China,Aluminium,2016,SUR,3544776.0,4002465.133,8442190972.0,12476157332.018,0.0004198881560197902,0.00032080912627867667
China,Aluminium,2016,SVK,46872.0,54550.371,8442190972.0,12476157332.018,5.552113207988207e-06,4.3723695965267665e-06
China,Aluminium,2016,SWE,18412343.0,12979642.188,8442190972.0,12476157332.018,0.002180991055647491,0.0010403557636043824
China,Aluminium,2016,THA,32987827.0,15700431.814,8442190972.0,12476157332.018,0.003907495946183863,0.001258434900761265
China,Aluminium,2016,TUR,5294489.0,10823094.939,8442190972.0,12476157332.018,0.0006271463199020369,0.0008675022806280513
China,Aluminium,2016,UKR,11.0,11.324,8442190972.0,12476157332.018,1.3029792901491354e-09,9.076512662227193e-10
China,Aluminium,2016,USA,945296606.0,616725876.979,8442190972.0,12476157332.018,0.11197290006056973,0.04943235810246435
China,Aluminium,2016,VEN,4381425.0,4947139.338,8442190972.0,12476157332.018,0.0005189914578492432,0.00039652748890108843
China,Aluminium,2016,VNM,91630068.0,110151227.249,8442190972.0,12476157332.018,0.010853825541723365,0.00882893861608454
