mineral,year,rp_ratio,rp_log,byproduct_frac,hhi_mining,hhi_processing,hhi_bottleneck,import_reliance,hhi_wgi,export_restriction_score,enduse_hhi,risk_weighted,n_substitutes,avg_performance_penalty,eu_substitution_index_ei,eu_substitution_index_sr,eol_rir,rp_log_norm,byproduct_frac_norm,hhi_bottleneck_norm,hhi_mining_norm,hhi_processing_norm,import_reliance_norm,hhi_wgi_norm,export_restriction_score_norm,risk_weighted_norm,enduse_hhi_norm,eu_substitution_index_sr_norm,avg_performance_penalty_norm,eol_rir_norm,D1,D2,D3,D4,CMVI,CMVI_rank
Lithium,2015,459.3333333333333,6.1319508647411824,0.0,0.3294633408919123,0.5617676209062069,0.5617676209062069,,0.3202696719057664,0.07999999999999999,0.7474687468416343,0.03448503820105821,1,0.06,0.91,0.94,0.0,0.13391575527096788,0.0,0.4694273508785933,0.23802718527622305,0.4009394598430508,,0.4942689039640001,0.10762844756018816,0.1266314700669645,0.5560982012388664,0.7931034482758619,0.20689655172413793,1.0,0.32985612704982087,0.47707051315894494,0.2505538163042329,0.5140245503097165,0.37730972878029884,13
Lithium,2016,409.63157894736844,6.017696410900162,0.0,0.30513850415512467,0.5617676209062069,0.5617676209062069,,0.3161810586965622,0.10210526315789474,0.7474687468416343,0.03397010135964913,1,0.06,0.91,0.94,0.0,0.165498115118774,0.0,0.4728311954825759,0.23061722156117304,0.3942295668598574,,0.4860053089491693,0.14404135338345866,0.09692600279471633,0.5560982012388664,0.7931034482758619,0.20689655172413793,1.0,0.34213815587952323,0.47962339661193193,0.24488259759596048,0.5140245503097165,0.3791062234791055,14
Lithium,2017,203.1970802919708,5.319085607352001,0.0,0.40102083222334695,0.5617676209062069,0.5617676209062069,,0.30049314282543105,0.004671532846715328,0.7474687468416343,0.04883055834549878,1,0.06,0.91,0.94,0.0,0.3039616116090256,0.0,0.48284760755328054,0.33633920926584165,0.37472678396613124,,0.48310248510790943,0.00636589758377531,0.20727654176217364,0.5560982012388664,0.7931034482758619,0.20689655172413793,1.0,0.39598507118128773,0.4871357056649604,0.2535879608885816,0.5140245503097165,0.39820830870987145,13
Lithium,2018,164.03601694915255,5.106163734620295,0.0,0.43168046179258834,0.5617676209062069,0.5617676209062069,,0.301824420834516,0.04745762711864407,0.7474687468416343,0.05987199789580122,1,0.06,0.91,0.94,0.0,0.2934898725550348,0.0,0.4892982065233494,0.33016230864991136,0.36092457693084434,,0.48229530504376233,0.059995116907857256,0.34030996043378414,0.5560982012388664,0.7931034482758619,0.20689655172413793,1.0,0.3919127282158469,0.49197365489251205,0.3199261201657948,0.5140245503097165,0.4219793454062856,12
Lithium,2019,220.15098722415794,5.398845668352113,0.0,0.34558173854511076,0.5617676209062069,0.5617676209062069,,0.3005094992226809,0.049477351916376304,0.7474687468416343,0.057876558033294626,1,0.06,0.91,0.94,0.0,0.1944764606060213,0.0,0.491866607897282,0.22399100370493608,0.3760792840827448,,0.4873168517726503,0.06257909982530492,0.3382206070316371,0.5560982012388664,0.7931034482758619,0.20689655172413793,1.0,0.3534075124578972,0.4938999559229615,0.3214939158894087,0.5140245503097165,0.4121144535451606,12
Lithium,2020,238.84482654235032,5.479992158160935,0.0,0.33024313638282027,0.5617676209062069,0.5617676209062069,,0.3060013866496563,0.04488466428528183,0.7474687468416343,0.07420201598272487,1,0.06,0.91,0.94,0.0,0.16685802971093788,0.0,0.4637538996759819,0.2160102841024048,0.3702267232205599,,0.4875810728884095,0.055716752669142264,0.3491308495670701,0.5560982012388664,0.7931034482758619,0.20689655172413793,1.0,0.3426670115542536,0.47281542475698646,0.3242349035050569,0.5140245503097165,0.4053702659197675,12
Lithium,2021,238.84482654235032,5.479992158160935,0.0,0.33024313638282027,0.5617676209062069,0.5617676209062069,,0.3040448724390029,0.04488466428528183,0.7474687468416343,0.0576337895824504,1,0.06,0.91,0.94,0.0,0.16685802971093788,0.0,0.4637538996759819,0.2160102841024048,0.36343191290411675,,0.4853315375328635,0.07656388671081106,0.3464473680881232,0.5560982012388664,0.7931034482758619,0.20689655172413793,1.0,0.3426670115542536,0.47281542475698646,0.32758595704945426,0.5140245503097165,0.40641363302625294,12
Lithium,2022,96.7338531705164,4.582248000264584,0.0,0.2823383236328185,0.5617676209062069,0.5617676209062069,,0.30744493445069826,0.09846500907263009,0.7474687468416343,0.04682832470043975,1,0.06,0.91,0.94,0.0,0.7009533410323829,0.0,0.4776181897866505,0.12157802211707648,0.30190839906892436,,0.48626758139856313,0.16191418427495652,0.30768755173508544,0.5560982012388664,0.7931034482758619,0.20689655172413793,1.0,0.5503707437348155,0.48321364233998787,0.3337472202522704,0.5140245503097165,0.46216708412538116,12
Lithium,2023,133.6079642979746,4.902366585578827,0.0,0.2823383236328185,0.5617676209062069,0.5617676209062069,,0.3040722699262974,0.09846500907263009,0.7474687468416343,0.04163086019976133,1,0.06,0.91,0.94,0.0,0.1551801580570853,0.0,0.4776181897866505,0.12157802211707648,0.30190839906892436,,0.48644133006038176,0.11884273528920186,0.27604181817356616,0.5560982012388664,0.7931034482758619,0.20689655172413793,1.0,0.33812561702219984,0.48321364233998787,0.31038187661286054,0.5140245503097165,0.40181335720100814,13
Cobalt,2015,55.23041878394954,4.029457869972438,0.85,0.3258604299946247,0.7583820854978313,0.7583820854978313,0.76,0.44568188574115414,0.45645698265288237,0.8914400207256429,0.02483667058954713,1,0.02,0.97,0.98,0.22,0.5320384476649254,0.8585858585858586,0.7238755232110662,0.23375286775732118,0.7034151595159698,0.625,0.7425342096611529,0.6140969552617184,0.03479904504829881,0.8091722530551974,0.9310344827586207,0.06896551724137932,0.6000000000000001,0.659765793620535,0.6991566424082997,0.4273308302161526,0.5772930632637993,0.5808061578803069,4
