mineral,year,rp_ratio,rp_log,byproduct_frac,hhi_mining,hhi_processing,hhi_bottleneck,hhi_import_intermediate,hhi_import_raw,hhi_export_raw,hhi_export_intermediate,hhi_import,bottleneck_stage,import_reliance,hhi_wgi,export_restriction_score,risk_weighted,enduse_hhi,n_substitutes,avg_performance_penalty,eu_substitution_index_ei,eu_substitution_index_sr,eol_rir,rp_log_norm,byproduct_frac_norm,hhi_bottleneck_norm,hhi_mining_norm,hhi_processing_norm,hhi_import_raw_norm,hhi_import_intermediate_norm,hhi_export_raw_norm,hhi_export_intermediate_norm,import_reliance_norm,hhi_wgi_norm,export_restriction_score_norm,risk_weighted_norm,enduse_hhi_norm,eu_substitution_index_sr_norm,avg_performance_penalty_norm,eol_rir_norm,D1,D2,D3,D4,CMVI,CMVI_rank,consumer
Lithium,2015,459.3333333333333,6.1319508647411824,0.0,0.3294633408919123,0.5617676209062069,0.567982330724123,0.567982330724123,,,0.41185968314191485,0.567982330724123,import_intermediate,0.9936507936507937,0.1780922417074858,0.07999999999999999,0.012522127986618517,0.7474687468416343,1,0.06,0.91,0.94,0.0,0.13391575527096788,0.0,0.5553925571675202,0.23802718527622305,0.4009394598430508,,0.8113686736267607,,0.6703901258574152,0.7696055319817705,0.17898178235724588,0.026084010840108387,0.08080241747718121,0.5560982012388664,0.7931034482758619,0.20689655172413793,1.0,0.32985612704982087,0.6089458008710829,0.10148559352593563,0.5140245503097165,0.31994318461792737,16,EU
Lithium,2016,409.63157894736844,6.017696410900162,0.0,0.30513850415512467,0.5617676209062069,0.5903968673334229,0.5903968673334229,,,0.3973844355354691,0.5903968673334229,import_intermediate,0.9894736842105263,0.1853598486895001,0.10210526315789474,0.014748609621707749,0.7474687468416343,1,0.06,0.91,0.94,0.0,0.165498115118774,0.0,0.6002628454260174,0.23061722156117304,0.3942295668598574,,0.6682525189877411,,0.6241626806480935,0.6168630531552746,0.2332348039502279,0.0,0.04507090783510681,0.5560982012388664,0.7931034482758619,0.20689655172413793,1.0,0.34213815587952323,0.6044128973583316,0.09966054451662248,0.5140245503097165,0.32081937445949643,15,EU
Lithium,2017,203.1970802919708,5.319085607352001,0.0,0.40102083222334695,0.5617676209062069,0.5433694369653551,0.5433694369653551,,,0.37246816358315077,0.543369436965355,import_intermediate,0.9883211678832117,0.1743842807629786,0.004671532846715328,0.011352457989067883,0.7474687468416343,1,0.06,0.91,0.94,0.0,0.3039616116090256,0.0,0.43828676960913315,0.33633920926584165,0.37472678396613124,,0.7068538736983688,,0.5637330684127628,0.6222646453303379,0.16730215953456348,0.0,0.016492091954455647,0.5560982012388664,0.7931034482758619,0.20689655172413793,1.0,0.39598507118128773,0.4842812385394344,0.06515259261887947,0.5140245503097165,0.28308900725007685,18,EU
Lithium,2018,164.03601694915255,5.106163734620295,0.0,0.43168046179258834,0.5617676209062069,0.6032040902262186,0.6032040902262186,,,0.3624695144626093,0.6032040902262186,import_intermediate,0.9915254237288136,0.1906830601970499,0.04745762711864407,0.008147505029363124,0.7474687468416343,1,0.06,0.91,0.94,0.0,0.2934898725550348,0.0,0.6835794284342388,0.33016230864991136,0.36092457693084434,,0.7658897087814314,,0.5623519583745659,0.7596179714823789,0.2092927464406488,0.047840294019847664,0.0,0.5560982012388664,0.7931034482758619,0.20689655172413793,1.0,0.3919127282158469,0.7025890641962739,0.085212534759189,0.5140245503097165,0.33139391141286895,16,EU
Lithium,2019,220.15098722415794,5.398845668352113,0.0,0.34558173854511076,0.5617676209062069,0.4766140447422517,0.4766140447422517,,,0.36112293546463975,0.4766140447422517,import_intermediate,0.9895470383275261,0.1747441070332218,0.049477351916376304,0.008218490566730335,0.7474687468416343,1,0.06,0.91,0.94,0.0,0.1944764606060213,0.0,0.563853448301398,0.22399100370493608,0.3760792840827448,,0.7871674594705742,,0.6125580989077151,0.5705458076509637,0.24254959136428558,0.05112477840017572,0.03391182827449584,0.5560982012388664,0.7931034482758619,0.20689655172413793,1.0,0.3534075124578972,0.5655265381387895,0.11123828288734221,0.5140245503097165,0.32695781788294753,16,EU
Lithium,2020,238.84482654235032,5.479992158160935,0.0,0.33024313638282027,0.5617676209062069,0.5142074683449203,0.5142074683449203,,,0.37141535335847153,0.5142074683449203,import_intermediate,0.9957861597142338,0.200052006630929,0.04488466428528183,0.008116011964134065,0.7474687468416343,1,0.06,0.91,0.94,0.0,0.16685802971093788,0.0,0.6189539376250879,0.2160102841024048,0.3702267232205599,,0.7586813639794722,,0.6666048536069753,0.8398135833951552,0.26616963983347375,0.05352593248493273,0.03957809407675403,0.5560982012388664,0.7931034482758619,0.20689655172413793,1.0,0.3426670115542536,0.6741688490676048,0.12237209469365061,0.5140245503097165,0.3471976752646671,13,EU
Lithium,2021,238.84482654235032,5.479992158160935,0.0,0.33024313638282027,0.5617676209062069,0.361476859493827,0.3558682726766623,,,0.361476859493827,0.35586827267666227,export_intermediate,0.9957861597142338,0.16605860199370578,0.04488466428528183,0.014013865491641736,0.7474687468416343,1,0.06,0.91,0.94,0.0,0.16685802971093788,0.0,0.19913290427325048,0.2160102841024048,0.36343191290411675,,0.510460873154648,,0.4907530573512057,0.8398135833951552,0.23016375608437517,0.0736172496326,0.12265734768603706,0.5560982012388664,0.7931034482758619,0.20689655172413793,1.0,0.3426670115542536,0.35930307405372663,0.14802456611209613,0.5140245503097165,0.3111091054677118,18,EU
Lithium,2022,96.7338531705164,4.582248000264584,0.0,0.2823383236328185,0.5617676209062069,0.4724910442297804,0.4219219930197184,,,0.4724910442297804,0.42192199301971833,export_intermediate,0.9981364327399342,0.20434540580569963,0.09846500907263009,0.014020690427842254,0.7474687468416343,1,0.06,0.91,0.94,0.0,0.7009533410323829,0.0,0.4167131820245601,0.12157802211707648,0.36343191290411675,,0.4939474555656638,,0.8632480920740699,0.9629055462788243,0.2791611534448806,0.15490705306212488,0.14377482617915413,0.5560982012388664,0.7931034482758619,0.20689655172413793,1.0,0.5503707437348155,0.5532612730881261,0.19394309744290106,0.5140245503097165,0.417408174689733,13,EU
Lithium,2023,133.6079642979746,4.902366585578827,0.0,0.2823383236328185,0.5617676209062069,0.44081741235567873,0.3259899718111245,,,0.44081741235567873,0.32598997181112455,export_intermediate,0.9981364327399342,0.19480866800919824,0.09846500907263009,0.009791079531494135,0.7474687468416343,1,0.06,0.91,0.94,0.0,0.1551801580570853,0.0,0.34795533788489547,0.12157802211707648,0.36343191290411675,,0.5148891943277341,,0.910131931888927,0.9629055462788243,0.25054089104067534,0.0,0.06674324133310805,0.5560982012388664,0.7931034482758619,0.20689655172413793,1.0,0.33812561702219984,0.5016928899833777,0.11438660839747959,0.5140245503097165,0.3160230546068218,18,EU
Cobalt,2015,55.23041878394954,4.029457869972438,0.85,0.3258604299946247,0.7583820854978313,0.8891897802938084,0.0681723642722508,0.0733398635109265,0.8891897802938084,0.14912474181783103,0.06696090843169979,export_raw,1.0,0.7316135730791443,0.45645698265288237,0.03606201660342722,0.8914400207256429,1,0.02,0.97,0.98,0.22,0.5320384476649254,0.8585858585858586,1.0,0.23375286775732118,0.7034151595159698,0.098812950979839,0.06583665215683002,1.0,0.11691395458850874,1.0,1.0,0.5393764753312504,0.34825186177995615,0.8091722530551974,0.9310344827586207,0.06896551724137932,0.6000000000000001,0.659765793620535,1.0,0.624144863544795,0.5772930632637993,0.6982611571265794,1,EU
